rank,company,ticker
240,Builders FirstSource,BLDR
241,Ally Financial,ALLY
242,Targa Resources,TRGP
243,Fluor,FLR
244,Intuit,INTU
245,AECOM,ACM
246,Kohl's,KSS
247,Principal Financial,PFG
248,Dominion Energy,D
249,Kyndryl Holdings,KD
250,Republic Services,RSG
251,Devon Energy,DVN
252,Illinois Tool Works,ITW
253,Northern Trust,NTRS
254,Universal Health Services,UHS
255,EchoStar,SATS
256,Ecolab,ECL
257,Cheniere Energy,LNG
258,Omnicom Group,OMC
259,Texas Instruments,TXN
260,United States Steel,X
261,Estee Lauder,EL
262,Kenvue,KVUE
263,IQVIA Holdings,IQV
264,Stanley Black & Decker,SWK
265,Keurig Dr Pepper,KDP
266,United Rentals,URI
267,Consolidated Edison,ED
268,Amphenol,APH
269,Baxter International,BAX
270,Kinder Morgan,KMI
271,Gap,GAP
272,Super Micro Computer,SMCI
273,First Citizens BancShares,FCNC.A
274,Raymond James Financial,RJF
275,Lam Research,LRCX
276,Tractor Supply,TSCO
277,Casey's General Stores,CASY
278,Viatris,VTRS
279,EMCOR Group,EME
280,CSX,CSX
281,LKQ,LKQ
282,Otis Worldwide,OTIS
283,Sonic Automotive,SAH
284,S&P Global,SPGI
285,Regeneron Pharmaceuticals,REGN
286,BorgWarner,BWA
287,Fox,FOXA
288,Reliance,RS
289,Textron,TXT
290,Expedia Group,EXPE
291,Fidelity National Financial,FNF
292,Carvana,CVNA
293,DXC Technology,DXC
294,W.R. Berkley,WRB
295,M&T Bank,MTB
296,Dick's Sporting Goods,DKS
297,Xcel Energy,XEL
298,Fifth Third Bancorp,FITB
299,Blackstone,BX
300,Sempra,SRE
301,Corning,GLW
302,Lumen Technologies,LUMN
303,FirstEnergy,FE
304,Hess,HES
305,Labcorp Holdings,LH
306,Western Digital,WDC
307,Unum Group,UNM
308,DaVita,DVA
309,Kellanova,K
310,Henry Schein,HSIC
311,Ryder System,R
312,Community Health Systems,CYH
313,Delek US Holdings,DK
314,DTE Energy,DTE
315,Equitable Holdings,EQH
316,DuPont,DD
317,LPL Financial Holdings,LPLA
318,Citizens Financial Group,CFG
319,MasTec,MTZ
320,AES,AES
321,Berry Global Group,BERY
322,Westlake,WLK
323,Norfolk Southern,NSC
324,Air Products & Chemicals,APD
325,J.B. Hunt Transport Services,JBHT
326,Ball,BALL
327,Conagra Brands,CAG
328,Huntington Bancshares,HBAN
329,Hormel Foods,HRL
330,Eversource Energy,ES
331,Alcoa,AA
332,Entergy,ETR
333,Assurant,AIZ
334,Chewy,CHWY
335,Wayfair,W
336,Crown Holdings,CCK
337,Avis Budget Group,CAR
338,Intercontinental Exchange,ICE
339,Alaska Air Group,ALK
340,GXO Logistics,GXO
341,AGCO,AGCO
342,Molson Coors Beverage,TAP
343,Arthur J. Gallagher,AJG
344,Huntington Ingalls Industries,HII
345,International Flavors & Fragrances,IFF
346,Darden Restaurants,DRI
347,Cincinnati Financial,CINF
348,Chipotle Mexican Grill,CMG
349,Yum China Holdings,YUMC
350,Las Vegas Sands,LVS
351,Ulta Beauty,ULTA
352,Caesars Entertainment,CZR
353,BrightSpring Health Services,BTSG
354,Andersons,ANDE
355,Hershey,HSY
356,Hilton Worldwide Holdings,HLT
357,Mosaic,MOS
358,Airbnb,ABNB
359,Diamondback Energy,FANG
360,American Tower,AMT
361,Vertex Pharmaceuticals,VRTX
362,ServiceNow,NOW
363,Owens Corning,OC
364,Advance Auto Parts,AAP
365,Toll Brothers,TOL
366,Mohawk Industries,MHK
367,Motorola Solutions,MSI
368,Oshkosh,OSK
369,DoorDash,DASH
370,Owens & Minor,OMI
371,NVR,NVR
372,Interpublic Group,IPG
373,Booz Allen Hamilton Holding,BAH
374,Burlington Stores,BURL
375,Expeditors Intl. of Washington,EXPD
376,Lululemon athletica,LULU
377,Fidelity National Information Services,FIS
