fortune_rank,company,ticker,n_obs,daily_std,cc_vol,parkinson_vol,gk_vol,rs_vol,yz_vol,ewma_vol,mad_vol,norm_avg_vol,n_measures
25,Fannie Mae,FNMA,253,0.07231389649597547,1.1479475187744972,0.9922963675903059,0.9970326342499948,1.0223950333807923,1.1589262266948355,0.8836302428860745,0.757380589197598,0.9511423139665719,7
38,Freddie Mac,FMCC,253,0.06973723823808567,1.1070443369906333,0.9992201148247337,1.0103526366140607,1.0223852631391803,1.186119524822834,0.9439040655919537,0.6404883981646267,0.9330417182575623,7
114,Warner Bros. Discovery,WBD,252,0.03831105323984728,0.6081691160255477,0.5148078831397251,0.4956540420638214,0.4891030000251132,0.5707444539052303,1.0705280157783637,0.38639841418090287,0.485960186892949,7
43,Tesla,TSLA,252,0.04375284713860597,0.6945549160786523,0.5179113162793986,0.515284875075074,0.5134719597253945,0.660808772174746,0.43482577273313655,0.5496688893743585,0.47542207024716177,7
135,PBF Energy,PBF,253,0.03810834361134708,0.6049512004333287,0.5338285954770465,0.42290569072571876,0.5056522284833604,0.644490420862455,0.625678195346652,0.4717854563873287,0.4546620927439912,7
147,Paramount Global,PARA,252,0.03155428523998582,0.5009087492603912,0.4669595657682054,0.4575877927351065,0.46369711294912075,0.5079294794376598,1.0471050406987517,0.25982788800863976,0.4114246335720884,7
170,Micron Technology,MU,252,0.038692758652527526,0.6142285016017829,0.4181521289453293,0.414886595423202,0.40981684785922357,0.5787339302400014,0.5206798891606892,0.5166207754402434,0.40696926253865545,7
186,Constellation Energy,CEG,253,0.04097942402005055,0.6505281889663231,0.46878548958078886,0.46485774193965945,0.4614920278255347,0.6120586931267933,0.345047687144393,0.40821614110695625,0.3939821047033236,7
130,GE Vernova,GEV,253,0.03516350423237636,0.5582033245466103,0.4546038619639236,0.4596722193273688,0.4632825669277595,0.5941471195153138,0.4557950865285021,0.41034043038040663,0.38964218938682854,7
86,Intel,INTC,252,0.03562024192433761,0.5654538106305248,0.45654554868031655,0.45825762580420915,0.45969265595664044,0.562396819244366,0.44769214826760545,0.42607095911232634,0.3882045783391326,7
87,Oracle,ORCL,253,0.034318734158792774,0.5447930153682188,0.3278555954131389,0.31283963715658203,0.3129551081948048,0.5331307614791811,1.2117563209811246,0.2923179377532162,0.3811345449118911,7
138,United Natural Foods,UNFI,253,0.036552516925622815,0.5802532174720633,0.4628406665306874,0.46998215102796853,0.47344505296836953,0.5531557544053247,0.3640263671066589,0.38848781515413106,0.37471060804316153,7
74,United Airlines Holdings,UAL,253,0.03561160424933443,0.5653166917907395,0.47064364084666954,0.4617477660884859,0.4597635302086183,0.5617670618933521,0.37363288201211725,0.3829025568611539,0.3716423201539331,7
88,Broadcom,AVGO,253,0.03559391527888015,0.5650358880901147,0.3962547871191701,0.3908455374247696,0.38571445592250914,0.5598265722128518,0.54613823184504,0.3974602849400275,0.36184949626197965,7
193,Macy's,M,252,0.031341422740673634,0.4975296618406011,0.39824725784053167,0.2789728144108946,0.38232237969956845,0.5672746621225907,0.7180615788301952,0.4018857436651316,0.3598376216791612,7
23,Centene,CNC,253,0.040468925259945686,0.6424242723832574,0.32284090509279856,0.3206002971671319,0.3234826344746421,0.6054445101097508,0.7026203111098043,0.28655961715606076,0.34166033962236864,7
179,Block,XYZ,253,0.03503867170140102,0.5562216695516612,0.40211212513819755,0.3930644915283584,0.38687440026184616,0.5609584579622563,0.35072860038006665,0.4078218224151305,0.33969390202337707,7
167,Advanced Micro Devices,AMD,253,0.032208379422698795,0.5112921725092268,0.38342315549352507,0.383018235391885,0.3788898317257412,0.5022074996854676,0.44301564229062207,0.42181320744501755,0.33365788244151656,7
81,American Airlines Group,AAL,253,0.034582843861574245,0.5489856269226125,0.4154571952323488,0.4034146716580527,0.4018031560147864,0.5105825452208562,0.446328413397542,0.32121900101546086,0.3297889259328253,7
111,Molina Healthcare,MOH,253,0.034441210207854754,0.5467372623724973,0.37643524442394394,0.37438860829487053,0.377988233935369,0.5075055194785193,0.5269090174943912,0.3319165649312857,0.32709979783513854,7
39,Humana,HUM,253,0.02960535479553889,0.4699704375889763,0.3869969792969627,0.3780945730142879,0.39121469049968316,0.5474874596440286,0.5449743970578106,0.3041134322475738,0.3220967301282984,7
153,NRG Energy,NRG,253,0.033876243464659096,0.5377686933633905,0.4102046590178311,0.3914882542910233,0.3911261902097993,0.49264499440835235,0.44042229408021755,0.31688267883364735,0.31946072621012356,7
44,Dell Technologies,DELL,253,0.03233243317543728,0.5132614647829288,0.37544591764229546,0.3531835534648682,0.3635034075178408,0.5208246371024337,0.4033229132776231,0.3962950626469079,0.3176189133491591,7
31,Nvidia,NVDA,252,0.03169455178725343,0.5031354116683819,0.3955342821095779,0.3909370566130079,0.38827389307909776,0.5094554372458149,0.28273163996338785,0.3797381022910378,0.30814180355973914,7
70,Delta Air Lines,DAL,253,0.030986652526157406,0.4918978592795032,0.38370834567399875,0.3724556040942011,0.37748847641836486,0.48300193327149654,0.34844472800360604,0.34047401628096124,0.2956158739804528,7
139,Dollar Tree,DLTR,253,0.02689810162299762,0.42699412580516727,0.3800173973203874,0.3901826262419685,0.3965468150463603,0.45480455300951794,0.3705619681407458,0.31053803645542166,0.28298910201929617,7
95,Ingram Micro Holding,INGM,220,0.02574797065496597,0.4087363627057729,0.3788398908580791,0.374478938954732,0.3817887553237435,0.45157852152730965,0.30220429541406996,0.34780589076086793,0.2748494375005304,7
